Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
100,tt7961060,1/17/2019,1/17/2019,,Doragon bôru chô: Burorî,https://www.imdb.com/title/tt7961060/,movie,7.9,100,2018,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",19579,11/14/2018,Tatsuya Nagamine
101,tt1025100,10/13/2019,10/13/2019,,Gemini Man,https://www.imdb.com/title/tt1025100/,movie,5.7,117,2019,"Action, Drama, Sci-Fi, Thriller",50852,9/25/2019,Ang Lee
102,tt3864056,9/14/2019,9/14/2019,,The Goldfinch,https://www.imdb.com/title/tt3864056/,movie,6.2,149,2019,Drama,8616,9/8/2019,John Crowley
103,tt1620981,10/12/2019,10/12/2019,,The Addams Family,https://www.imdb.com/title/tt1620981/,movie,5.8,86,2019,"Animation, Comedy, Family, Fantasy, Horror",14334,10/10/2019,"Conrad Vernon, Greg Tiernan"
104,tt7734218,7/20/2019,7/20/2019,,Stuber,https://www.imdb.com/title/tt7734218/,movie,6.1,93,2019,"Action, Comedy, Crime, Thriller",27297,3/13/2019,Michael Dowse
105,tt5719748,2/9/2019,2/9/2019,,Cold Pursuit,https://www.imdb.com/title/tt5719748/,movie,6.2,119,2019,"Action, Crime, Drama, Thriller",46874,2/7/2019,Hans Petter Moland
106,tt2639336,3/5/2019,3/5/2019,,Greta,https://www.imdb.com/title/tt2639336/,movie,6,98,2018,"Drama, Mystery, Thriller",19443,9/6/2018,Neil Jordan
107,tt6423362,5/23/2019,5/23/2019,,The Sun Is Also a Star,https://www.imdb.com/title/tt6423362/,movie,5.8,100,2019,"Drama, Music, Romance",3807,5/16/2019,Ry Russo-Young
108,tt2274648,4/15/2019,4/15/2019,,Hellboy,https://www.imdb.com/title/tt2274648/,movie,5.2,120,2019,"Action, Adventure, Fantasy, Horror, Sci-Fi",65878,4/9/2019,Neil Marshall
109,tt7547410,12/8/2019,12/8/2019,Not in theater.,Dora and the Lost City of Gold,https://www.imdb.com/title/tt7547410/,movie,6,102,2019,"Adventure, Family",15215,8/2/2019,James Bobin
110,tt5697572,1/3/2020,1/3/2020,,Cats,https://www.imdb.com/title/tt5697572/,movie,2.8,110,2019,"Comedy, Drama, Family, Fantasy, Musical",25165,12/16/2019,Tom Hooper
111,tt5033998,11/20/2019,11/20/2019,,Charlie's Angels,https://www.imdb.com/title/tt5033998/,movie,4.2,118,2019,"Action, Adventure, Comedy",18076,11/13/2019,Elizabeth Banks
112,tt7390588,11/24/2019,11/24/2019,Not in theater.,Little Monsters,https://www.imdb.com/title/tt7390588/,movie,6.3,93,2019,"Comedy, Horror",7581,1/27/2019,Abe Forsythe
113,tt8722346,12/5/2019,12/5/2019,,Queen & Slim,https://www.imdb.com/title/tt8722346/,movie,7,132,2019,Drama,6685,11/14/2019,Melina Matsoukas
114,tt5952594,3/23/2019,3/23/2019,,The Mustang,https://www.imdb.com/title/tt5952594/,movie,6.9,96,2019,Drama,7117,1/31/2019,Laure de Clermont-Tonnerre
115,tt5886046,1/4/2019,1/4/2019,,Escape Room,https://www.imdb.com/title/tt5886046/,movie,6.3,99,2019,"Action, Adventure, Horror, Mystery, Thriller",66764,1/3/2019,Adam Robitel
116,tt6511932,4/1/2019,4/1/2019,,The Beach Bum,https://www.imdb.com/title/tt6511932/,movie,5.5,95,2019,Comedy,13800,3/9/2019,Harmony Korine
117,tt8663516,6/28/2019,6/28/2019,,Child's Play,https://www.imdb.com/title/tt8663516/,movie,5.8,90,2019,"Horror, Sci-Fi",32096,6/18/2019,Lars Klevberg
118,tt6811018,1/27/2019,1/27/2019,,The Kid Who Would Be King,https://www.imdb.com/title/tt6811018/,movie,6,120,2019,"Action, Adventure, Family, Fantasy",12379,1/16/2019,Joe Cornish
119,tt6565702,6/8/2019,6/8/2019,,Dark Phoenix,https://www.imdb.com/title/tt6565702/,movie,5.8,113,2019,"Action, Adventure, Sci-Fi",122815,6/5/2019,Simon Kinberg
